Outcome,AnimalNumber,Species,DateTime
Adoption,A0055833475,Cat,6/26/24 8:35
Adoption,A0055833483,Cat,6/26/24 8:34
Adoption,A0055833490,Cat,6/25/24 10:11
Adoption,A0055838043,Cat,6/28/24 14:57
Adoption,A0055841915,Cat,6/28/24 16:20
Adoption,A0055661021,Cat,6/27/24 14:16
Adoption,A0055801240,Rodent,8/12/24 8:39
Adoption,A0055801288,Rodent,8/12/24 8:39
Adoption,A0055483711,Cat,6/25/24 13:00
Adoption,A0055630003,Cat,7/10/24 16:11
Adoption,A0055635731,Cat,7/26/24 11:42
Adoption,A0055431731,Dog,5/28/25 15:33
Adoption,A0055431769,Dog,5/14/25 11:44
Adoption,A0054470149,Cat,11/8/24 13:06
Adoption,A0054051183,Cat,1/6/25 13:46
Adoption,A0054710095,Dog,10/28/24 16:56
Adoption,A0054820104,Cat,10/14/24 11:54
Adoption,A0054862140,Cat,12/18/24 13:34
Adoption,A0054901212,Rabbit,7/8/24 14:14
Adoption,A0055787095,Cat,6/28/24 11:41
Adoption,A0055664699,Dog,11/4/24 12:00
Adoption,A0055708376,Cat,10/12/24 16:45
Adoption,A0055708875,Cat,10/7/24 12:47
Adoption,A0055831942,Cat,7/17/24 15:37
Adoption,A0055841943,Cat,7/17/24 16:46
Adoption,A0055059980,Rabbit,7/6/24 14:11
Adoption,A0055387656,Cat,2/3/25 13:07
Adoption,A0055183770,Dog,1/10/25 13:28
Adoption,A0054196266,Cat,6/10/25 14:19
Adoption,A0055708895,Cat,10/5/24 11:35
Adoption,A0055708431,Cat,10/1/24 15:50
Adoption,A0055775146,Dog,7/16/24 12:39
Adoption,A0055947839,Cat,7/15/24 15:30
Adoption,A0055961331,Cat,7/13/24 13:58
Adoption,A0055933344,Cat,7/6/24 16:50
Adoption,A0055933356,Cat,7/8/24 13:45
Adoption,A0055937780,Cat,7/18/24 16:49
Adoption,A0055937786,Cat,9/23/24 14:16
Adoption,A0055895141,Cat,8/29/24 13:45
Adoption,A0055861106,Dog,8/5/24 15:54
Adoption,A0055861526,Rabbit,6/26/24 13:23
Adoption,A0055847686,Farm Type Fowl,7/8/24 10:19
Adoption,A0055847698,Farm Type Fowl,7/8/24 10:19
Adoption,A0055847759,Farm Type Fowl,7/8/24 10:19
Adoption,A0055869676,Farm Type Fowl,7/8/24 10:19
Adoption,A0055874746,Cat,6/28/24 15:15
Adoption,A0055877843,Cat,7/3/24 15:33
Adoption,A0055877847,Cat,7/3/24 15:33
Adoption,A0055864985,Cat,7/3/24 16:06
Adoption,A0055864990,Cat,7/3/24 15:00
Adoption,A0055869303,Cat,7/25/24 18:34
Adoption,A0055869436,Cat,8/13/24 15:15
Adoption,A0055865005,Cat,7/3/24 16:06
Adoption,A0055929252,Cat,6/25/24 15:50
Adoption,A0055929265,Cat,6/25/24 15:50
Adoption,A0055929274,Cat,6/26/24 11:31
Adoption,A0055934170,Cat,7/18/24 13:58
Adoption,A0055934690,Cat,6/27/24 16:53
Adoption,A0055977503,Cat,6/29/24 16:21
Adoption,A0055977540,Cat,8/17/24 15:20
Adoption,A0055977623,Cat,8/15/24 16:03
Adoption,A0055977654,Cat,8/17/24 15:20
Adoption,A0055966245,Cat,8/29/24 16:56
Adoption,A0055959284,Domestic (Cage) Bird,7/18/24 18:15
Adoption,A0055971424,Dog,7/1/24 11:56
Adoption,A0055984765,Cat,7/24/24 12:25
Adoption,A0055989676,Cat,6/27/24 17:42
Adoption,A0055994848,Cat,6/29/24 12:54
Adoption,A0055994851,Cat,6/29/24 12:54
Adoption,A0056013444,Cat,7/27/24 13:01
Adoption,A0056024355,Cat,7/1/24 15:30
Adoption,A0056037408,Dog,6/29/24 11:45
Adoption,A0056037408,Dog,7/1/24 12:57
Adoption,A0056037413,Dog,6/29/24 14:10
Adoption,A0056069891,Cat,7/22/24 13:55
Adoption,A0056069883,Cat,7/6/24 11:17
Adoption,A0056027891,Cat,7/1/24 14:45
Adoption,A0056064416,Cat,7/20/24 10:44
Adoption,A0056067680,Cat,7/20/24 10:44
Adoption,A0056069847,Cat,7/12/24 13:10
Adoption,A0056069850,Cat,7/6/24 16:27
Adoption,A0056069853,Cat,7/12/24 13:10
Adoption,A0056017757,Cat,7/12/24 15:58
Adoption,A0056018618,Cat,7/15/24 11:11
Adoption,A0056009851,Cat,7/23/24 14:48
Adoption,A0056010686,Cat,6/27/24 15:15
Adoption,A0056024050,Domestic (Cage) Bird,6/29/24 14:30
Adoption,A0056024054,Domestic (Cage) Bird,6/29/24 14:30
Adoption,A0056018844,Cat,8/26/24 16:19
Adoption,A0056018633,Cat,7/13/24 15:56
Adoption,A0056008955,Cat,7/12/24 15:58
Adoption,A0055947835,Cat,7/6/24 9:34
Adoption,A0055997565,Cat,7/29/24 10:24
Adoption,A0055972605,Cat,6/27/24 11:10
Adoption,A0055972616,Cat,6/27/24 10:44
Adoption,A0055972618,Cat,6/27/24 10:47
Adoption,A0055961315,Cat,7/13/24 12:53
Adoption,A0055977604,Cat,9/17/24 15:17
Adoption,A0055944238,Dog,7/19/24 16:14
Adoption,A0055944935,Cat,7/6/24 11:17
Adoption,A0055944945,Cat,7/5/24 14:21
Adoption,A0055937780,Cat,7/13/24 12:05
Adoption,A0055934690,Cat,7/30/24 15:26
Adoption,A0055933418,Cat,7/8/24 12:31
Adoption,A0055934140,Cat,7/9/24 13:12
Adoption,A0055934151,Cat,7/20/24 14:42
Adoption,A0055917780,Dog,12/21/24 14:50
Adoption,A0055887171,Cat,7/15/24 14:54
Adoption,A0055887177,Cat,7/15/24 12:43
Adoption,A0055887182,Cat,12/28/24 15:49
Adoption,A0055887182,Cat,7/15/24 13:36
Adoption,A0055862595,Cat,7/1/24 16:10
Adoption,A0055863001,Cat,8/5/24 14:18
Adoption,A0055863872,Cat,9/26/24 12:00
Adoption,A0055864980,Cat,7/1/24 15:49
Adoption,A0055862596,Cat,7/11/24 10:01
Adoption,A0055869277,Cat,7/29/24 13:23
Adoption,A0055869284,Cat,7/29/24 13:23
Adoption,A0055869288,Cat,7/29/24 13:23
Adoption,A0055862593,Cat,7/8/24 8:03
Adoption,A0055864999,Cat,7/8/24 8:09
Adoption,A0055841945,Cat,7/26/24 15:37
Adoption,A0055877852,Cat,6/27/24 15:18
Adoption,A0055895130,Cat,8/9/24 8:23
Adoption,A0055895145,Cat,8/12/24 9:28
Adoption,A0055895160,Cat,8/5/24 11:39
Adoption,A0055895162,Cat,7/30/24 14:10
Adoption,A0055930100,Rodent,7/31/24 11:43
Adoption,A0055930117,Rodent,7/31/24 11:43
Adoption,A0055930130,Rodent,7/31/24 11:43
Adoption,A0055937798,Cat,7/16/24 13:41
Adoption,A0055937803,Cat,7/22/24 8:17
Adoption,A0055937806,Cat,7/19/24 9:42
Adoption,A0055941491,Cat,8/13/24 8:35
Adoption,A0055961331,Cat,7/18/24 8:35
Adoption,A0055961337,Cat,7/10/24 8:03
Adoption,A0055961350,Cat,7/10/24 8:03
Adoption,A0056149819,Cat,8/5/24 8:20
Adoption,A0056149821,Cat,6/27/24 15:16
Adoption,A0056149822,Cat,8/5/24 8:19
Adoption,A0056071471,Cat,7/11/24 12:06
Adoption,A0056069893,Cat,7/31/24 15:55
Adoption,A0056069895,Cat,7/30/24 9:18
Adoption,A0056082224,Cat,7/11/24 12:06
Adoption,A0056094518,Rodent,8/5/24 15:31
Adoption,A0056227194,Cat,7/2/24 13:29
Adoption,A0056227202,Cat,7/8/24 8:16
Adoption,A0056184549,Cat,8/2/24 8:42
Adoption,A0056242919,Cat,7/8/24 8:06
Adoption,A0056232980,Cat,7/8/24 8:08
Adoption,A0056263639,Cat,7/8/24 8:18
Adoption,A0056263655,Cat,7/8/24 8:19
Adoption,A0056252383,Cat,8/5/24 14:35
Adoption,A0056252386,Cat,8/5/24 14:55
Adoption,A0056233104,Dog,4/9/25 13:40
Adoption,A0056069895,Cat,9/4/24 16:05
Adoption,A0056080343,Dog,7/23/24 15:38
Adoption,A0056085290,Cat,2/13/25 14:19
Adoption,A0056094521,Rodent,9/16/24 12:00
Adoption,A0056125079,Dog,7/22/24 15:32
Adoption,A0056156328,Cat,11/4/24 14:02
Adoption,A0056180311,Cat,10/8/24 14:17
Adoption,A0056227726,Dog,7/23/24 13:37
Adoption,A0056227974,Cat,9/12/24 14:00
Adoption,A0056232082,Cat,8/27/24 13:01
Adoption,A0056232630,Dog,7/25/24 9:26
Adoption,A0056232911,Dog,7/10/24 15:11
Adoption,A0056233104,Dog,12/6/24 14:37
Adoption,A0056233262,Dog,7/23/24 12:54
Adoption,A0056233995,Dog,7/30/24 13:03
Adoption,A0056280725,Dog,12/27/24 11:12
Adoption,A0056287775,Dog,7/30/24 15:30
Adoption,A0056287838,Dog,8/22/24 12:31
Adoption,A0056362836,Cat,9/25/24 15:32
