Outcome,AnimalNumber,Species,DateTime
Adoption,A0476,Dog,2024-12-27 09:58:26.685228
Adoption,A0438,Dog,2024-12-27 10:46:26.685228
Adoption,A0959,Dog,2024-12-27 12:27:26.685228
Adoption,A0634,Cat,2024-12-27 12:50:26.685228
Adoption,A0663,Cat,2024-12-27 12:51:26.685228
Adoption,A0829,Dog,2024-12-27 14:04:26.685228
Adoption,A0852,Dog,2024-12-27 14:07:26.685228
Adoption,A0123,Dog,2024-12-27 15:14:26.685228
Adoption,A0739,Cat,2024-12-27 15:47:26.685228
Adoption,A0065,Dog,2024-12-28 11:36:26.685228
Adoption,A0194,Dog,2024-12-28 15:40:26.685228
Adoption,A0482,Dog,2024-12-28 16:34:26.685228
Adoption,A0248,Other,2024-12-28 16:54:26.685228
Adoption,A0019,Dog,2024-12-28 17:36:26.685228
Adoption,A0220,Cat,2024-12-29 09:39:26.685228
Adoption,A0667,Dog,2024-12-29 11:40:26.685228
Adoption,A0870,Dog,2024-12-29 12:35:26.685228
Adoption,A0969,Cat,2024-12-29 13:28:26.685228
Adoption,A0168,Dog,2024-12-29 15:04:26.685228
Adoption,A0753,Dog,2024-12-29 16:54:26.685228
Adoption,A0729,Dog,2024-12-29 17:39:26.685228
Adoption,A0315,Dog,2024-12-30 09:02:26.685228
Adoption,A0742,Dog,2024-12-30 12:03:26.685228
Adoption,A0069,Other,2024-12-30 12:16:26.685228
Adoption,A0918,Cat,2024-12-30 12:18:26.685228
Adoption,A0935,Cat,2024-12-30 12:55:26.685228
Adoption,A0478,Dog,2024-12-30 19:50:26.685228
Adoption,A0601,Dog,2024-12-31 09:06:26.685228
Adoption,A0124,Dog,2024-12-31 10:16:26.685228
Adoption,A0104,Cat,2024-12-31 11:59:26.685228
Adoption,A0974,Dog,2024-12-31 12:34:26.685228
Adoption,A0703,Dog,2024-12-31 14:35:26.685228
Adoption,A0822,Cat,2024-12-31 16:57:26.685228
Adoption,A0404,Cat,2024-12-31 17:17:26.685228
Adoption,A0932,Cat,2025-01-01 08:46:26.685228
Adoption,A0796,Cat,2025-01-01 10:43:26.685228
Adoption,A0725,Dog,2025-01-01 13:02:26.685228
Adoption,A0406,Cat,2025-01-01 15:30:26.685228
Adoption,A0323,Cat,2025-01-01 16:42:26.685228
Adoption,A0905,Dog,2025-01-01 18:23:26.685228
Adoption,A0592,Dog,2025-01-02 09:11:26.685228
