Outcome,AnimalNumber,Species,DateTime
Adoption,A0984,Dog,2024-12-27 09:51:26.694356
Adoption,A0871,Cat,2024-12-27 11:29:26.694356
Adoption,A0786,Dog,2024-12-27 11:32:26.694356
Adoption,A0851,Dog,2024-12-27 13:14:26.694356
Adoption,A0717,Dog,2024-12-27 15:05:26.694356
Adoption,A0954,Dog,2024-12-27 18:47:26.694356
Adoption,A0732,Dog,2024-12-27 21:20:26.694356
Adoption,A0568,Cat,2024-12-28 09:32:26.694356
Adoption,A0500,Dog,2024-12-28 10:06:26.694356
Adoption,A0194,Dog,2024-12-28 11:17:26.694356
Adoption,A0544,Dog,2024-12-28 11:41:26.694356
Adoption,A0296,Dog,2024-12-28 11:42:26.694356
Adoption,A0139,Dog,2024-12-28 11:57:26.694356
Adoption,A0492,Dog,2024-12-28 12:20:26.694356
Adoption,A0698,Cat,2024-12-28 13:02:26.694356
Adoption,A0102,Cat,2024-12-28 13:18:26.694356
Adoption,A0236,Cat,2024-12-28 14:22:26.694356
Adoption,A0145,Other,2024-12-28 15:07:26.694356
Adoption,A0107,Cat,2024-12-28 15:22:26.694356
Adoption,A0434,Cat,2024-12-28 16:15:26.694356
Adoption,A0491,Dog,2024-12-28 18:35:26.694356
Adoption,A0279,Dog,2024-12-28 20:46:26.694356
Adoption,A0551,Dog,2024-12-29 08:57:26.694356
Adoption,A0445,Dog,2024-12-29 09:53:26.694356
Adoption,A0230,Cat,2024-12-29 11:20:26.694356
Adoption,A0179,Dog,2024-12-29 11:53:26.694356
Adoption,A0222,Cat,2024-12-29 12:38:26.694356
Adoption,A0055,Other,2024-12-29 12:47:26.694356
Adoption,A0070,Cat,2024-12-29 14:40:26.694356
Adoption,A0689,Cat,2024-12-29 14:59:26.694356
Adoption,A0229,Dog,2024-12-29 15:12:26.694356
Adoption,A0024,Dog,2024-12-29 15:22:26.694356
Adoption,A0238,Cat,2024-12-29 15:31:26.694356
Adoption,A0410,Dog,2024-12-29 15:58:26.694356
Adoption,A0330,Dog,2024-12-29 16:05:26.694356
Adoption,A0579,Dog,2024-12-29 17:23:26.694356
Adoption,A0295,Dog,2024-12-29 17:33:26.694356
Adoption,A0413,Dog,2024-12-29 17:56:26.694356
Adoption,A0019,Dog,2024-12-29 18:53:26.694356
Adoption,A0962,Dog,2024-12-31 12:08:26.694356
Adoption,A0886,Cat,2024-12-31 14:18:26.694356
Adoption,A0797,Other,2024-12-31 14:56:26.694356
Adoption,A0779,Dog,2024-12-31 16:29:26.694356
